,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Agree,ErrorAgree,SeparationDistanceEnd,SeparationDistanceStart,Total,TotalError
0,0,0,0,78009198.0,77841716.0,4999,0,92390335.0,92294042.0
1,1,1,1,73856887.0,73713275.0,9999,5000,88012365.0,87921321.0
2,2,2,2,69656215.0,69524983.0,14999,10000,83366389.0,83275331.0
3,3,3,3,65526455.0,65399771.0,19999,15000,78653491.0,78560301.0
4,4,4,4,61485037.0,61349380.0,24999,20000,73965917.0,73859178.0
5,5,5,5,57438915.0,57296062.0,29999,25000,69212994.0,69093926.0
6,6,6,6,53431372.0,53290196.0,34999,30000,64465308.0,64347185.0
7,7,7,7,49407071.0,49282445.0,39999,35000,59690441.0,59582548.0
8,8,8,8,45441199.0,45332585.0,44999,40000,54938526.0,54846756.0
9,9,9,9,41444954.0,41357010.0,49999,45000,50143128.0,50068961.0
10,10,10,10,37504306.0,37437900.0,54999,50000,45405218.0,45350618.0
11,11,11,11,33539575.0,33488779.0,59999,55000,40616298.0,40577774.0
12,12,12,12,29574951.0,29538848.0,64999,60000,35836048.0,35810305.0
13,13,13,13,25622113.0,25593179.0,69999,65000,31048613.0,31030359.0
14,14,14,14,21651161.0,21622831.0,74999,70000,26252586.0,26230947.0
15,15,15,15,17701171.0,17664524.0,79999,75000,21472386.0,21439165.0
16,16,16,16,13774579.0,13729490.0,84999,80000,16713266.0,16670126.0
17,17,17,17,9835567.0,9791426.0,89999,85000,11939091.0,11894881.0
18,18,18,18,5907869.0,5869341.0,94999,90000,7171700.0,7130140.0
19,19,19,19,1966520.0,1934575.0,99999,95000,2387511.0,2352588.0
