,Agree,AgreeError,AgreeGeva,AgreeGevaError,Total,TotalError,TotalGeva,TotalGevaError
0,1046844.0,1038580.0,1060904.0,1042243.0,1239569.0,1231689.0,1232107.0,1223660.0
1,989915.0,982254.0,1001949.0,984067.0,1180590.0,1173031.0,1173537.0,1165489.0
2,932586.0,925478.0,944139.0,927714.0,1114813.0,1107661.0,1108154.0,1100455.0
3,874758.0,867818.0,886691.0,871359.0,1049956.0,1043034.0,1043613.0,1036282.0
4,819898.0,813554.0,830662.0,816653.0,985318.0,979201.0,979389.0,972893.0
5,766495.0,761177.0,777692.0,764960.0,922914.0,917414.0,917261.0,911428.0
6,713916.0,708792.0,724126.0,712073.0,859708.0,854432.0,854424.0,848800.0
7,658897.0,654190.0,669170.0,657934.0,795350.0,790377.0,790443.0,785122.0
8,605263.0,600725.0,614111.0,604026.0,730641.0,726162.0,726166.0,721375.0
9,551272.0,547288.0,559508.0,550030.0,666435.0,662342.0,662355.0,657940.0
10,498783.0,495027.0,506255.0,498121.0,603527.0,599780.0,599804.0,595912.0
11,444288.0,441000.0,451879.0,443994.0,537676.0,534320.0,534491.0,530815.0
12,390632.0,387650.0,396545.0,390190.0,473065.0,469987.0,470199.0,466949.0
13,338764.0,336258.0,343442.0,338034.0,409996.0,407450.0,407472.0,404748.0
14,284426.0,282549.0,288686.0,284043.0,345107.0,342967.0,343057.0,340733.0
15,231207.0,229486.0,234355.0,230518.0,280002.0,278245.0,278279.0,276422.0
16,179039.0,177912.0,181383.0,178587.0,216411.0,215285.0,215130.0,213820.0
17,125501.0,124767.0,126940.0,125088.0,151718.0,151019.0,150861.0,150029.0
18,70128.0,69733.0,70634.0,69550.0,84707.0,84326.0,84208.0,83777.0
19,16988.0,16915.0,17148.0,16926.0,20524.0,20454.0,20356.0,20294.0
