,Agree,AgreeError,AgreeGeva,AgreeGevaError,Total,TotalError,TotalGeva,TotalGevaError
0,77116.0,76464.0,78223.0,76710.0,91208.0,90620.0,90465.0,89925.0
1,73121.0,72690.0,74229.0,72848.0,87259.0,86777.0,86547.0,86113.0
2,68589.0,68081.0,69777.0,68315.0,82245.0,81708.0,81597.0,81098.0
3,64630.0,64255.0,65567.0,64547.0,77800.0,77334.0,77153.0,76758.0
4,59975.0,59627.0,61088.0,59964.0,72557.0,72138.0,72035.0,71627.0
5,55463.0,55094.0,56463.0,55492.0,67102.0,66725.0,66524.0,66197.0
6,51550.0,51177.0,52357.0,51511.0,62216.0,61825.0,61657.0,61315.0
7,47784.0,47409.0,48495.0,47720.0,57620.0,57330.0,57145.0,56880.0
8,44223.0,43972.0,44956.0,44183.0,53505.0,53220.0,53094.0,52816.0
9,40393.0,40139.0,40916.0,40277.0,49055.0,48782.0,48624.0,48351.0
10,36678.0,36420.0,37242.0,36667.0,44433.0,44200.0,44080.0,43842.0
11,33580.0,33371.0,34193.0,33676.0,40525.0,40223.0,40203.0,39929.0
12,29335.0,29107.0,29609.0,29165.0,35271.0,35091.0,34997.0,34815.0
13,25463.0,25222.0,25909.0,25450.0,30757.0,30574.0,30530.0,30341.0
14,21077.0,20993.0,21535.0,21208.0,25421.0,25305.0,25249.0,25133.0
15,16618.0,16570.0,16943.0,16681.0,20133.0,20066.0,19992.0,19937.0
16,12995.0,12937.0,13181.0,12986.0,15663.0,15579.0,15546.0,15457.0
17,9203.0,9133.0,9295.0,9169.0,11141.0,11060.0,11070.0,10982.0
18,5031.0,4999.0,5105.0,5016.0,6083.0,6041.0,6033.0,5978.0
19,1121.0,1123.0,1147.0,1128.0,1349.0,1344.0,1341.0,1333.0
