,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,32924,39292,32835,0,33187,32808,38545
1,31662,38069,31654,0,31940,31603,37301
2,30129,36430,30120,0,30417,30147,35715
3,28191,33790,28137,0,28383,28042,33171
4,26780,32336,26739,0,26899,26593,31708
5,25214,30412,25144,0,25253,24947,29899
6,22914,27786,22876,0,23041,22762,27239
7,21189,25591,21186,0,21330,21068,25138
8,19699,23681,19678,0,19773,19551,23237
9,17840,21667,17840,0,18054,17830,21220
10,16310,19810,16325,0,16589,16406,19468
11,14516,17729,14531,0,14801,14608,17380
12,13145,16005,13126,0,13314,13128,15683
13,11045,13362,11053,0,11118,10995,13125
14,8865,10782,8845,0,8949,8846,10572
15,6889,8520,6885,0,7046,6931,8375
16,5481,6594,5489,0,5489,5435,6455
17,3748,4480,3736,0,3648,3610,4379
18,2130,2547,2132,0,2093,2093,2499
19,600,730,598,0,572,571,704
