,Unnamed: 0,Unnamed: 0.1,Agree,AgreeError,AgreeGeva,AgreeGevaError,Total,TotalError,TotalGeva,TotalGevaError
0,0,0,6325596.0,6281211.0,6410934.0,6292720.0,7495555.0,7452944.0,7445741.0,7400566.0
1,1,1,5988164.0,5946873.0,6061258.0,5949197.0,7141059.0,7100578.0,7094163.0,7051237.0
2,2,2,5650847.0,5611111.0,5725553.0,5621578.0,6766765.0,6727445.0,6722745.0,6681310.0
3,3,3,5307673.0,5269211.0,5380849.0,5282966.0,6376794.0,6338425.0,6335010.0,6294800.0
4,4,4,4978506.0,4941990.0,5050958.0,4959149.0,5993236.0,5956776.0,5953858.0,5915808.0
5,5,5,4646730.0,4613376.0,4718649.0,4633286.0,5603726.0,5569960.0,5567307.0,5531985.0
6,6,6,4318710.0,4287737.0,4384508.0,4307031.0,5213838.0,5183108.0,5180063.0,5147824.0
7,7,7,3989161.0,3962324.0,4053850.0,3982175.0,4822166.0,4794389.0,4790912.0,4761900.0
8,8,8,3659128.0,3634117.0,3716873.0,3651147.0,4424954.0,4399889.0,4396102.0,4369773.0
9,9,9,3333712.0,3311665.0,3385292.0,3325505.0,4036275.0,4014167.0,4009571.0,3986104.0
10,10,10,3001227.0,2982636.0,3047329.0,2992976.0,3635886.0,3616376.0,3611932.0,3591425.0
11,11,11,2673889.0,2657093.0,2714986.0,2665936.0,3241817.0,3224725.0,3220640.0,3202100.0
12,12,12,2345931.0,2331325.0,2381175.0,2337819.0,2844709.0,2830062.0,2825987.0,2809859.0
13,13,13,2022070.0,2010738.0,2050913.0,2014422.0,2452731.0,2441545.0,2436535.0,2424111.0
14,14,14,1696937.0,1688658.0,1721981.0,1691065.0,2060532.0,2052060.0,2047195.0,2037601.0
15,15,15,1380684.0,1373706.0,1399684.0,1373906.0,1674322.0,1667339.0,1663387.0,1655504.0
16,16,16,1056903.0,1051524.0,1069848.0,1049481.0,1280963.0,1275437.0,1272448.0,1266250.0
17,17,17,735059.0,731186.0,742968.0,728766.0,891859.0,887873.0,885984.0,881618.0
18,18,18,409812.0,407207.0,413966.0,405935.0,497995.0,495299.0,494665.0,491799.0
19,19,19,100768.0,100002.0,101253.0,99190.0,122206.0,121581.0,121330.0,120672.0
