,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,191855,239014,191530,0,187724,185947,228209
1,182979,230068,182536,0,178954,177105,219426
2,171569,216684,171359,0,167832,166386,206366
3,161311,205101,161174,0,158752,157230,195469
4,151196,192452,151054,0,149485,148063,183735
5,141834,181082,141640,0,139967,138471,172713
6,131207,167867,131160,0,129209,127850,159680
7,121325,154820,121165,0,119506,118298,147292
8,111402,142871,111159,0,109938,108890,136176
9,100443,128846,100455,0,98964,98152,122638
10,90674,116118,90581,0,89104,88291,110532
11,81683,104433,81616,0,80601,79841,99456
12,71200,91167,71110,0,70797,70180,87118
13,60925,77861,60803,0,60131,59727,74520
14,50693,65036,50634,0,50071,49687,62105
15,40993,52280,40917,0,40259,39904,49823
16,31893,40745,31841,0,31410,31079,39015
17,22700,29004,22613,0,22221,22006,27835
18,12981,16592,12969,0,12711,12536,15876
19,3581,4603,3586,0,3520,3477,4400
