,Agree,AgreeError,AgreeGeva,AgreeGevaError,Total,TotalError,TotalGeva,TotalGevaError
0,2108497.0,2087409.0,2139796.0,2103897.0,2628635.0,2610150.0,2595984.0,2577939.0
1,1993088.0,1975003.0,2018498.0,1984848.0,2502225.0,2484771.0,2471613.0,2454037.0
2,1878622.0,1861522.0,1908049.0,1877366.0,2370627.0,2353174.0,2341778.0,2324438.0
3,1768062.0,1752991.0,1797664.0,1769978.0,2237934.0,2221805.0,2210349.0,2194442.0
4,1652606.0,1637761.0,1681646.0,1655006.0,2097276.0,2082238.0,2071700.0,2056583.0
5,1542026.0,1527533.0,1569580.0,1544180.0,1960320.0,1945820.0,1936012.0,1921582.0
6,1431408.0,1417660.0,1459665.0,1436006.0,1823095.0,1809340.0,1800757.0,1787068.0
7,1322404.0,1310664.0,1348624.0,1326899.0,1687128.0,1674586.0,1666475.0,1653791.0
8,1210729.0,1200308.0,1234593.0,1215343.0,1545777.0,1534591.0,1526702.0,1515670.0
9,1101336.0,1091890.0,1122713.0,1105330.0,1407787.0,1397696.0,1390541.0,1380406.0
10,993755.0,985277.0,1014102.0,998479.0,1272163.0,1263461.0,1256487.0,1247668.0
11,884851.0,877336.0,902698.0,888692.0,1133206.0,1125995.0,1119317.0,1111969.0
12,776416.0,770256.0,791219.0,779167.0,993976.0,987620.0,981696.0,975456.0
13,671081.0,665331.0,684003.0,673208.0,859543.0,853880.0,848895.0,843483.0
14,561365.0,556639.0,571700.0,562944.0,719539.0,714778.0,710810.0,706237.0
15,452703.0,448981.0,461575.0,454443.0,581179.0,577743.0,574100.0,570895.0
16,346766.0,344045.0,353571.0,348295.0,445322.0,442863.0,439821.0,437654.0
17,241103.0,239268.0,245305.0,241520.0,309966.0,308330.0,306054.0,304547.0
18,136625.0,135200.0,139097.0,136911.0,175645.0,174306.0,173462.0,172169.0
19,33879.0,33623.0,34208.0,33694.0,43432.0,43147.0,42943.0,42661.0
