SampleID Label Phased
0 msp_0 1
1 msp_1 1
2 msp_2 1
3 msp_3 1
4 msp_4 1
5 msp_5 1
6 msp_6 1
7 msp_7 1
8 msp_8 1
9 msp_9 1
10 msp_10 1
11 msp_11 1
12 msp_12 1
13 msp_13 1
14 msp_14 1
15 msp_15 1
16 msp_16 1
17 msp_17 1
18 msp_18 1
19 msp_19 1
20 msp_20 1
21 msp_21 1
22 msp_22 1
23 msp_23 1
24 msp_24 1
25 msp_25 1
26 msp_26 1
27 msp_27 1
28 msp_28 1
29 msp_29 1
30 msp_30 1
31 msp_31 1
32 msp_32 1
33 msp_33 1
34 msp_34 1
35 msp_35 1
36 msp_36 1
37 msp_37 1
38 msp_38 1
39 msp_39 1
40 msp_40 1
41 msp_41 1
42 msp_42 1
43 msp_43 1
44 msp_44 1
45 msp_45 1
46 msp_46 1
47 msp_47 1
48 msp_48 1
49 msp_49 1
50 msp_50 1
51 msp_51 1
52 msp_52 1
53 msp_53 1
54 msp_54 1
55 msp_55 1
56 msp_56 1
57 msp_57 1
58 msp_58 1
59 msp_59 1
60 msp_60 1
61 msp_61 1
62 msp_62 1
63 msp_63 1
64 msp_64 1
65 msp_65 1
66 msp_66 1
67 msp_67 1
68 msp_68 1
69 msp_69 1
70 msp_70 1
71 msp_71 1
72 msp_72 1
73 msp_73 1
74 msp_74 1
75 msp_75 1
76 msp_76 1
77 msp_77 1
78 msp_78 1
79 msp_79 1
80 msp_80 1
81 msp_81 1
82 msp_82 1
83 msp_83 1
84 msp_84 1
85 msp_85 1
86 msp_86 1
87 msp_87 1
88 msp_88 1
89 msp_89 1
90 msp_90 1
91 msp_91 1
92 msp_92 1
93 msp_93 1
94 msp_94 1
95 msp_95 1
96 msp_96 1
97 msp_97 1
98 msp_98 1
99 msp_99 1
100 msp_100 1
101 msp_101 1
102 msp_102 1
103 msp_103 1
104 msp_104 1
105 msp_105 1
106 msp_106 1
107 msp_107 1
108 msp_108 1
109 msp_109 1
110 msp_110 1
111 msp_111 1
112 msp_112 1
113 msp_113 1
114 msp_114 1
115 msp_115 1
116 msp_116 1
117 msp_117 1
118 msp_118 1
119 msp_119 1
120 msp_120 1
121 msp_121 1
122 msp_122 1
123 msp_123 1
124 msp_124 1
125 msp_125 1
126 msp_126 1
127 msp_127 1
128 msp_128 1
129 msp_129 1
130 msp_130 1
131 msp_131 1
132 msp_132 1
133 msp_133 1
134 msp_134 1
135 msp_135 1
136 msp_136 1
137 msp_137 1
138 msp_138 1
139 msp_139 1
140 msp_140 1
141 msp_141 1
142 msp_142 1
143 msp_143 1
144 msp_144 1
145 msp_145 1
146 msp_146 1
147 msp_147 1
148 msp_148 1
149 msp_149 1
150 msp_150 1
151 msp_151 1
152 msp_152 1
153 msp_153 1
154 msp_154 1
155 msp_155 1
156 msp_156 1
157 msp_157 1
158 msp_158 1
159 msp_159 1
160 msp_160 1
161 msp_161 1
162 msp_162 1
163 msp_163 1
164 msp_164 1
165 msp_165 1
166 msp_166 1
167 msp_167 1
168 msp_168 1
169 msp_169 1
170 msp_170 1
171 msp_171 1
172 msp_172 1
173 msp_173 1
174 msp_174 1
175 msp_175 1
176 msp_176 1
177 msp_177 1
178 msp_178 1
179 msp_179 1
180 msp_180 1
181 msp_181 1
182 msp_182 1
183 msp_183 1
184 msp_184 1
185 msp_185 1
186 msp_186 1
187 msp_187 1
188 msp_188 1
189 msp_189 1
190 msp_190 1
191 msp_191 1
192 msp_192 1
193 msp_193 1
194 msp_194 1
195 msp_195 1
196 msp_196 1
197 msp_197 1
198 msp_198 1
199 msp_199 1
200 msp_200 1
201 msp_201 1
202 msp_202 1
203 msp_203 1
204 msp_204 1
205 msp_205 1
206 msp_206 1
207 msp_207 1
208 msp_208 1
209 msp_209 1
210 msp_210 1
211 msp_211 1
212 msp_212 1
213 msp_213 1
214 msp_214 1
215 msp_215 1
216 msp_216 1
217 msp_217 1
218 msp_218 1
219 msp_219 1
220 msp_220 1
221 msp_221 1
222 msp_222 1
223 msp_223 1
224 msp_224 1
225 msp_225 1
226 msp_226 1
227 msp_227 1
228 msp_228 1
229 msp_229 1
230 msp_230 1
231 msp_231 1
232 msp_232 1
233 msp_233 1
234 msp_234 1
235 msp_235 1
236 msp_236 1
237 msp_237 1
238 msp_238 1
239 msp_239 1
240 msp_240 1
241 msp_241 1
242 msp_242 1
243 msp_243 1
244 msp_244 1
245 msp_245 1
246 msp_246 1
247 msp_247 1
248 msp_248 1
249 msp_249 1
