SampleID Label Phased
0 ind0 1
1 ind1 1
2 ind2 1
3 ind3 1
4 ind4 1
5 ind5 1
6 ind6 1
7 ind7 1
8 ind8 1
9 ind9 1
10 ind10 1
11 ind11 1
12 ind12 1
13 ind13 1
14 ind14 1
15 ind15 1
16 ind16 1
17 ind17 1
18 ind18 1
19 ind19 1
20 ind20 1
21 ind21 1
22 ind22 1
23 ind23 1
24 ind24 1
25 ind25 1
26 ind26 1
27 ind27 1
28 ind28 1
29 ind29 1
30 ind30 1
31 ind31 1
32 ind32 1
33 ind33 1
34 ind34 1
35 ind35 1
36 ind36 1
37 ind37 1
38 ind38 1
39 ind39 1
40 ind40 1
41 ind41 1
42 ind42 1
43 ind43 1
44 ind44 1
45 ind45 1
46 ind46 1
47 ind47 1
48 ind48 1
49 ind49 1
