MarkerID Clock Adjusted Fk N_Shared N_Others PostMean PostMode PostMedian PostCI025 PostCI975 Robust Lower Upper
3 M 0 2 1 100 0.05473743 0.06664251 0.04419915 0.00191110 0.16199475 0.32280654 0.08452775 1.23277935
3 R 0 2 1 100 0.11611829 0.15150470 0.09417382 0.00395130 0.33023006 0.38373529 0.08452775 1.74206436
3 C 0 2 1 100 0.14014801 0.18403554 0.10492067 0.00376806 0.43405371 0.29288998 0.04516480 1.89936708
3 M 1 2 1 100 0.05473743 0.06664251 0.04419915 0.00191110 0.16199475 0.32280654 0.08452775 1.23277935
3 R 1 2 1 100 0.11611829 0.15150470 0.09417382 0.00395130 0.33023006 0.38373529 0.08452775 1.74206436
3 C 1 2 1 100 0.14014801 0.18403554 0.10492067 0.00376806 0.43405371 0.29288998 0.04516480 1.89936708
4 M 0 2 1 100 0.02570112 0.03127772 0.02074425 0.00093422 0.07498661 0.24458161 0.08452775 0.70769854
4 R 0 2 1 100 0.03698026 0.04516480 0.02995455 0.00132270 0.10830991 0.28818070 0.08452775 0.98249530
4 C 0 2 1 100 0.03719292 0.04715986 0.03127772 0.00135995 0.10400161 0.20494855 0.04516480 0.93001422
4 M 1 2 1 100 0.02570112 0.03127772 0.02074425 0.00093422 0.07498661 0.24458161 0.08452775 0.70769854
4 R 1 2 1 100 0.03698026 0.04516480 0.02995455 0.00132270 0.10830991 0.28818070 0.08452775 0.98249530
4 C 1 2 1 100 0.03719292 0.04715986 0.03127772 0.00135995 0.10400161 0.20494855 0.04516480 0.93001422
9 M 0 3 3 100 0.04903016 0.05254161 0.04615155 0.01290470 0.09913674 0.24122185 0.08452775 0.68838911
9 R 0 3 3 100 0.04526803 0.04715986 0.04142432 0.01032790 0.09935925 0.28278214 0.08452775 0.94602948
9 C 0 3 3 100 0.04629933 0.04924304 0.04325415 0.01179035 0.09481379 0.20093542 0.04516480 0.89394929
9 M 1 3 3 100 0.04903016 0.05254161 0.04615155 0.01290470 0.09913674 0.24122185 0.08452775 0.68838911
9 R 1 3 3 100 0.04526803 0.04715986 0.04142432 0.01032790 0.09935925 0.28278214 0.08452775 0.94602948
9 C 1 3 3 100 0.04629933 0.04924304 0.04325415 0.01179035 0.09481379 0.20093542 0.04516480 0.89394929
33 M 0 3 3 100 0.05194098 0.05606114 0.04924304 0.01375600 0.10417473 0.23251991 0.08452775 0.63961846
33 R 0 3 3 100 0.02671612 0.02747376 0.02361646 0.00565333 0.06166350 0.23330014 0.08452775 0.64391820
