MarkerID Clock Adjusted Fk N_Shared N_Others PostMean PostMode PostMedian PostCI025 PostCI975 Robust Lower Upper
21 M 0 2 1 100 0.01498102 0.01822135 0.01208491 0.00053639 0.04388592 0.11127343 0.03337288 0.37101315
21 R 0 2 1 100 0.02575000 0.03196107 0.02074425 0.00090625 0.07450189 0.13241897 0.03337288 0.52542021
21 C 0 2 1 100 0.02508329 0.03265934 0.02030073 0.00084433 0.07141019 0.08584409 0.01707741 0.43151777
21 M 1 2 1 100 0.01498102 0.01822135 0.01208491 0.00053639 0.04388592 0.11127343 0.03337288 0.37101315
21 R 1 2 1 100 0.02575000 0.03196107 0.02074425 0.00090625 0.07450189 0.13241897 0.03337288 0.52542021
21 C 1 2 1 100 0.02508329 0.03265934 0.02030073 0.00084433 0.07141019 0.08584409 0.01707741 0.43151777
22 M 0 2 1 100 0.00960300 0.01157367 0.00784368 0.00034806 0.02815124 0.10868273 0.03337288 0.35393820
22 R 0 2 1 100 0.00402179 0.00410142 0.00277961 0.00010297 0.01442235 0.12187294 0.03337288 0.44506242
22 C 0 2 1 100 0.00653130 0.00784368 0.00520214 0.00023173 0.01944093 0.08185794 0.01707741 0.39237335
22 M 1 2 1 100 0.00960300 0.01157367 0.00784368 0.00034806 0.02815124 0.10868273 0.03337288 0.35393820
22 R 1 2 1 100 0.00402179 0.00410142 0.00277961 0.00010297 0.01442235 0.12187294 0.03337288 0.44506242
22 C 1 2 1 100 0.00653130 0.00784368 0.00520214 0.00023173 0.01944093 0.08185794 0.01707741 0.39237335
41 M 0 2 1 100 0.01068084 0.01289442 0.00855194 0.00038507 0.03141977 0.12650230 0.03337288 0.47951615
41 R 0 2 1 100 0.01144116 0.01375816 0.00912479 0.00040960 0.03386183 0.14336542 0.03337288 0.61587869
41 C 0 2 1 100 0.01178113 0.01500048 0.00994873 0.00044167 0.03251489 0.09867436 0.01707741 0.57014658
41 M 1 2 1 100 0.01068084 0.01289442 0.00855194 0.00038507 0.03141977 0.12650230 0.03337288 0.47951615
41 R 1 2 1 100 0.01144116 0.01375816 0.00912479 0.00040960 0.03386183 0.14336542 0.03337288 0.61587869
41 C 1 2 1 100 0.01178113 0.01500048 0.00994873 0.00044167 0.03251489 0.09867436 0.01707741 0.57014658
50 M 0 2 1 100 0.01214316 0.01467976 0.00994873 0.00043906 0.03545353 0.10853016 0.03337288 0.35294516
