MarkerID Clock Adjusted Fk N_Shared N_Others PostMean PostMode PostMedian PostCI025 PostCI975 Robust Lower Upper
2 M 0 4 6 100 0.14625873 0.15150470 0.14199320 0.06503891 0.24412456 0.62277197 0.39211903 0.98909999
2 R 0 4 6 100 0.03838135 0.03799362 0.03560838 0.01395297 0.07375553 0.43105172 0.39211903 0.47384995
2 C 0 4 6 100 0.10743286 0.11194884 0.10267741 0.04768343 0.17955848 0.46311782 0.27748472 0.77293666
2 M 1 4 6 100 0.14625873 0.15150470 0.14199320 0.06503891 0.24412456 0.62277197 0.39211903 0.98909999
2 R 1 4 6 100 0.03838135 0.03799362 0.03560838 0.01395297 0.07375553 0.43105172 0.39211903 0.47384995
2 C 1 4 6 100 0.10743286 0.11194884 0.10267741 0.04768343 0.17955848 0.46311782 0.27748472 0.77293666
4 M 0 5 10 100 0.19648860 0.20065335 0.19216489 0.10780129 0.29805897 0.63049142 0.39211903 1.01377234
4 R 0 5 10 100 0.06182744 0.06245868 0.05853751 0.02937138 0.10438196 0.42780339 0.39211903 0.46673516
4 C 0 5 10 100 0.14215964 0.14509543 0.13895730 0.07787004 0.21594071 0.46729029 0.27748472 0.78692698
4 M 1 5 10 100 0.19648860 0.20065335 0.19216489 0.10780129 0.29805897 0.63049142 0.39211903 1.01377234
4 R 1 5 10 100 0.06182744 0.06245868 0.05853751 0.02937138 0.10438196 0.42780339 0.39211903 0.46673516
4 C 1 5 10 100 0.14215964 0.14509543 0.13895730 0.07787004 0.21594071 0.46729029 0.27748472 0.78692698
1 M 0 7 20 100 0.33361182 0.33706579 0.32985912 0.21927341 0.45777858 0.68779426 0.39211903 1.20642179
1 R 0 7 20 100 0.30113866 0.30254069 0.29607218 0.19837150 0.41255064 0.65161804 0.39211903 1.08284995
1 C 0 7 20 100 0.40042095 0.40944001 0.39211903 0.26883302 0.53754881 0.61734460 0.27748472 1.37346071
1 M 1 7 20 100 0.33361182 0.33706579 0.32985912 0.21927341 0.45777858 0.68779426 0.39211903 1.20642179
1 R 1 7 20 100 0.30113866 0.30254069 0.29607218 0.19837150 0.41255064 0.65161804 0.39211903 1.08284995
1 C 1 7 20 100 0.40042095 0.40944001 0.39211903 0.26883302 0.53754881 0.61734460 0.27748472 1.37346071
3 M 0 7 21 100 0.38756302 0.39211903 0.38373529 0.25631913 0.52987170 0.74384670 0.39211903 1.41107131
3 R 0 7 21 100 0.39401754 0.40068594 0.38373529 0.26061056 0.53893811 0.75152231 0.39211903 1.44034268
3 C 0 7 21 100 0.53550236 0.54226377 0.53066985 0.35539513 0.72599473 0.74224080 0.27748472 1.98541168
3 M 1 7 21 100 0.38756302 0.39211903 0.38373529 0.25631913 0.52987170 0.74384670 0.39211903 1.41107131
3 R 1 7 21 100 0.39401754 0.40068594 0.38373529 0.26061056 0.53893811 0.75152231 0.39211903 1.44034268
3 C 1 7 21 100 0.53550236 0.54226377 0.53066985 0.35539513 0.72599473 0.74224080 0.27748472 1.98541168
