MarkerID Clock Fk SampleID0 Chr0 SampleID1 Chr1 Shared Missing Pass SegmentLHS SegmentRHS S_LHS S_RHS Shape Rate q25 q50 q75
3 M 2 15 0 45 0 1 0.00000000 1 0 36 0 0 1 8.16320000 0.03560838 0.08452775 0.16879399 
3 R 2 15 0 45 0 1 0.00000000 1 0 36 0 0 1 8.16160004 0.03560838 0.08452775 0.16879399 
3 C 2 15 0 45 0 1 0.00000000 1 0 36 0 0 1 15.32480004 0.01861945 0.04516480 0.09018988 
3 M 2 15 0 20 0 0 0.00000000 1 2 4 0 0 2 1.37280000 0.70282099 1.23277935 1.94086391 
3 R 2 15 0 20 0 0 0.00000000 1 2 4 0 0 3 1.54960000 1.10650775 1.74206436 2.51552837 
3 C 2 15 0 20 0 0 0.00000000 1 2 4 0 0 4 1.92240000 1.31535774 1.89936708 2.68403240 
3 M 2 45 0 35 0 0 0.00000000 1 2 4 0 0 2 1.37280000 0.70282099 1.23277935 1.94086391 
3 R 2 45 0 35 0 0 0.00000000 1 2 4 0 0 3 1.54960000 1.10650775 1.74206436 2.51552837 
3 C 2 45 0 35 0 0 0.00000000 1 2 4 0 0 4 1.92240000 1.31535774 1.89936708 2.68403240 
3 M 2 15 0 47 0 0 0.00000000 1 2 4 0 0 2 1.37280000 0.70282099 1.23277935 1.94086391 
3 R 2 15 0 47 0 0 0.00000000 1 2 4 0 0 3 1.54960000 1.10650775 1.74206436 2.51552837 
3 C 2 15 0 47 0 0 0.00000000 1 2 4 0 0 4 1.92240000 1.31535774 1.89936708 2.68403240 
3 M 2 45 0 14 0 0 0.00000000 1 2 4 0 0 2 1.37280000 0.70282099 1.23277935 1.94086391 
3 R 2 45 0 14 0 0 0.00000000 1 2 4 0 0 3 1.54960000 1.10650775 1.74206436 2.51552837 
3 C 2 45 0 14 0 0 0.00000000 1 2 4 0 0 4 1.92240000 1.31535774 1.89936708 2.68403240 
3 M 2 45 0 19 0 0 0.00000000 1 2 4 0 0 2 1.37280000 0.70282099 1.23277935 1.94086391 
3 R 2 45 0 19 0 0 0.00000000 1 2 4 0 0 3 1.54960000 1.10650775 1.74206436 2.51552837 
